"Deptcode","Department Name English - Public Accounts","Department Name Fench - Public Accounts","Applied Title (English)","Applied Title (French)","Legal Title (English)","Legal Title (French)","Ministerial Portfolio (English)","Ministerial Portfolio (French)","Appropriate Minister 1 - Name (English)","Appropriate Minister 1 - Title (English)","Appropriate Minister 2 - Name (English)","Appropriate Minister 2 - Title (English)","Appropriate Minister 3 - Name (English)","Appropriate Minister 3 - Title (English)","Appropriate Minister 1 - Name (French)","Appropriate Minister 1 - Title (French)","Appropriate Minister 2 - Name (French)","Appropriate Minister 2 - Title (French)","Appropriate Minister 3 - Name (French)","Appropriate Minister 3 - Title (French)","Institutional Head (English)","Institutional Head (French)","Mandate (English) [HTML]","Mandate (French) [HTML]","Institutional Form (English)","Institutional Form (French)","Enabling Instrument (English) [HTML]","Enabling Instrument (French) [HTML]","Website (English)","Website (French)"
,,,"CanadaNewfoundland and Labrador Offshore Petroleum Board","NULL","CanadaNewfoundland and Labrador Offshore Petroleum Board","Office Canada-Terre-Neuve-et-Labrador des hydrocarbures extracôtiers","Natural Resources","Ressources naturelles","Oliver, Joe (Hon.)","Minister of Natural Resources","NULL","NULL","NULL","NULL","Oliver, Joe (L'hon.)","ministre des Ressources naturelles","NULL","NULL","NULL","NULL","Scott Tessier, Chairman and Chief Executive Officer","Scott Tessier, président et premier dirigeant","<p>To administer the relevant provisions of the <em>Canada-Newfoundland Atlantic Accord Implementation Act</em> as enacted by the Parliament of Canada and the Legislature of Newfoundland and Labrador.</p>","<p>Administrer les dispositions pertinentes de la <em>Loi de mise en &#339;uvre de l&#8217;Accord atlantique Canada-Terre-Neuve</em> mises en vigueur par le Parlement du Canada et l&#8217;Assembl&#233;e l&#233;gislative de Terre-Neuve et du Labrador.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>The Canada-Newfoundland Atlantic Accord Implementation Act</em>, S.C. 1987, c. 3</p> <p><em>Canada-Newfoundland and Labrador Atlantic Accord Implementation Newfoundland and Labrador Act</em>, R.S.N.L. 1990, c. C-2.</p>","<p><em>Loi de mise en &#339;uvre de l&#8217;Accord atlantique Canada-Terre-Neuve</em>, L.C. 1987, ch. 3;</p> <p><em>Canada-Newfoundland and Labrador Atlantic Accord Implementation Newfoundland and Labrador Act</em>, R.S.N.L. 1990, ch. C-2</p>","www.cnlopb.nl.ca","www.cnlopb.nl.ca"
,,,"CanadaNova Scotia Offshore Petroleum Board","NULL","CanadaNova Scotia Offshore Petroleum Board","Office Canada-Nouvelle-Écosse des hydrocarbures extracôtiers","Natural Resources","Ressources naturelles","Oliver, Joe (Hon.)","Minister of Natural Resources","NULL","NULL","NULL","NULL","Oliver, Joe (L'hon.)","ministre des Ressources naturelles","NULL","NULL","NULL","NULL","Stuart Pinks, Chief Executive Officer","Stuart Pinks, premier dirigeant","<p>To administer the relevant provisions of the <em>Canada-Nova Scotia Offshore Petroleum Resources Accord Implementation Act</em> as enacted by the Parliament of Canada and the Legislature of Nova Scotia.</p>","<p>Administrer les dispositions pertinentes de la <em>Loi de mise en &#339;uvre de l&#8217;Accord Canada-Nouvelle-&#201;cosse sur les hydrocarbures extrac&#244;tiers</em> mises en vigueur par le Parlement du Canada et l&#8217;Assembl&#233;e l&#233;gislative de la Nouvelle-&#201;cosse.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada-Nova Scotia Offshore Petroleum Resources Accord Implementation Act</em>, S.C. 1988, c. 28 <br /> <em>Canada-Nova Scotia Offshore Petroleum Resources Accord Implementation (Nova Scotia) Act</em>, S.N.S. 1987, c. 3.</p>","<p><em>Loi de mise en &#339;uvre de l&#8217;Accord Canada-Nouvelle-&#201;cosse sur les hydrocarbures extrac&#244;tiers</em>, L.C. 1988, ch. 28</p> <p><em>Canada-Nova Scotia Offshore Petroleum Resources Accord Implementation (Nova Scotia) </em>Act, S.N.S. 1987, ch. 3</p>","www.cnsopb.ns.ca","www.cnsopb.ns.ca"
,,,"Canadian Agency for Drugs and Technologies in Health","NULL","Canadian Agency for Drugs and Technologies in Health","Agence canadienne des médicaments et des technologies de la santé","Health","Santé","Aglukkaq, Leona (Hon.)","Minister of Health","NULL","NULL","NULL","NULL","Aglukkaq, Leona (L'hon.)","ministre de la Santé","NULL","NULL","NULL","NULL","Dr. Brian ORourke, President and Chief Executive Officer","Dr. Brian ORourke, président-directeur général","<p>To provide health care decision makers with credible, impartial advice and evidence-based information about the effectiveness and efficiency of drugs and other health technologies.</p>","<p>Offrir aux d&#233;cideurs du secteur de la sant&#233; des recommandations et des conseils fiables et impartiaux et de l&#8217;information fond&#233;e sur des donn&#233;es factuelles quant &#224; l&#8217;efficacit&#233; clinique et &#224; la rentabilit&#233; de m&#233;dicaments et d&#8217;autres technologies de la sant&#233;.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Not-for-profit Corporations Act</em>, S.C. 2009, c. 23</p>","<p><em>Canada Not-for-profit Corporations Act</em>, S.C. 2009, c. 23</p>","www.cadth.ca","www.cadth.ca/fr"
,,,"Canadian Centre on Substance Abuse","NULL","Canadian Centre on Substance Abuse","Centre canadien de lutte contre lalcoolisme et les toxicomanies","Health","Santé","Aglukkaq, Leona (Hon.)","Minister of Health","NULL","NULL","NULL","NULL","Aglukkaq, Leona (L'hon.)","ministre de la Santé","NULL","NULL","NULL","NULL","Michel Perron, Chief Executive Officer","Michel Perron, premier dirigeant","<p>To provide national leadership as well as evidence-informed analysis and advice to mobilize collaborative efforts to reduce harms associated with the abuse of, or addiction to, alcohol and other drugs.</p>","<p>Assurer un leadership &#224; l&#8217;&#233;chelle nationale et fournir des analyses et des conseils factuels afin de mobiliser les efforts de collaboration visant &#224; r&#233;duire les m&#233;faits li&#233;s &#224; l&#8217;abus ou la d&#233;pendance &#224; l&#8217;alcool et aux autres drogues.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canadian Centre on Substance Abuse Act</em>, R.S.C. 1985, c. 49 (4th Supp.)</p>","<p><em>Loi sur le Centre canadien de lutte contre les toxicomanies</em>, L.R.C. 1985, ch. 49 (4e supp.)</p>","www.ccsa.ca","www.ccsa.ca"
,,,"Canadian Cultural Property Export Review Board","NULL","Canadian Cultural Property Export Review Board","Commission canadienne d'examen des exportations de biens culturels","Canadian Heritage and Official Languages","Patrimoine canadien et Langues officielles","Moore, James (Hon.)","Minister of Canadian Heritage and Official Languages","NULL","NULL","NULL","NULL","Moore, James (L'hon.)","ministre du Patrimoine canadien et des Langues officielles","NULL","NULL","NULL","NULL","Delphine Bishop, Secretary","Delphine Bishop, secrétaire","<p>The Canadian Cultural Property Export Review Board is an independent administrative tribunal that reports to the Minister of Canadian Heritage. As outlined in the <em>Cultural Property Export and Import Act</em>, the Review Board is responsible for:</p> <ul> <li>Certifying cultural property for income tax purposes;</li> <li>Reviewing export permit applications that have been refused; and</li> <li>Determining fair cash offers to purchase cultural property for refused export permits.</li> </ul>","<p>La Commission canadienne d&#8217;examen des exportations de biens culturels est un tribunal administratif ind&#233;pendant qui rel&#232;ve du ministre du Patrimoine canadien. Comme il est stipul&#233; dans la <em><a href=""http://laws-lois.justice.gc.ca/fra/lois/C-51/index.html"">Loi sur l&#8217;exportation et l&#8217;importation de biens culturels</a></em>, la Commission a les responsabilit&#233;s suivantes&#160;:</p> <ul> <li>Attester les biens culturels aux fins de l&#8217;imp&#244;t sur le revenu</li> <li>&#201;tudier les demandes de licence d&#8217;exportation qui ont &#233;t&#233; refus&#233;es</li> <li>D&#233;terminer un juste montant pour les offres d&#8217;achat au comptant de biens culturels pour lesquels une licence d&#8217;exportation a &#233;t&#233; refus&#233;e</li> </ul>","Statutory and Other Agency","Organismes créés par une loi et autres organismes","<p><em>Cultural Property Export and Import Act</em>, R.S.C. 1985, c. C-51</p>","<p><em>Loi sur l'exportation et l'importation de biens culturels</em>, L.R.C. 1985, ch. C-51</p>","www.pch.gc.ca/pgm/bcm-mcp/cebc-cperb/index-eng.cfm","www.pch.gc.ca/pgm/bcm-mcp/cebc-cperb/index-fra.cfm"
,,,"Canadian Energy Research Institute","NULL","Canadian Energy Research Institute","Canadian Energy Research Institute","Natural Resources","Ressources naturelles","Oliver, Joe (Hon.)","Minister of Natural Resources","NULL","NULL","NULL","NULL","Oliver, Joe (L'hon.)","ministre des Ressources naturelles","NULL","NULL","NULL","NULL","Peter Howard, President and Chief Executive Officer","Peter Howard, président et premier dirigeant","<p>To undertake independent, high-quality economic research on energy and related environmental issues and policies to assist Canadian business and government organizations.</p>","<p>Effectuer des recherches &#233;conomiques ind&#233;pendantes et de grande qualit&#233; dans le domaine de l&#8217;&#233;nergie et des questions et politiques environnementales connexes afin d&#8217;aider les entreprises et les organisations gouvernementales canadiennes.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Corporations Act</em>, R.S.C. 1970, c. C-32 <br /> <em>Societies Act</em>, R.S.A. 2000, c. S-14</p>","<p><em>Loi sur les corporations canadiennes</em>, L.R.C. 1970, ch. C-32<br /> <em>Societies Act</em>, R.S.A. 2000, ch. S-14</p>","www.ceri.ca","www.ceri.ca"
,,,"Canadian Forces Housing Agency","NULL","Canadian Forces Housing Agency","Agence de logement des Forces canadiennes","National Defence","Défense nationale","MacKay, Peter (Hon.)","Minister of National Defence","NULL","NULL","NULL","NULL","MacKay, Peter (L'hon.)","ministre de la Défense nationale","NULL","NULL","NULL","NULL","Richard Fadden, Deputy Minister","Richard Fadden, Sous-ministre","<p>To manage Crown-controlled residential accommodation, and to develop and implement plans to meet the future residential needs of members of the Canadian Forces and generally improve their quality of life.</p>","<p>G&#233;rer les logements contr&#244;l&#233;s par l&#8217;&#201;tat, &#233;laborer et mettre en &#339;uvre des plans pour r&#233;pondre aux besoins futurs des membres des Forces canadiennes en mati&#232;re de logement et am&#233;liorer leur qualit&#233; de vie en g&#233;n&#233;ral.</p>","Special Operating Agency","Organismes de services spéciaux","<p>Treasury Board Decision No. 821509, April 1, 1994</p>","<p>D&#233;cisions rendues par le Conseil du Tr&#233;sor n&#186; 821509, 1er avril, 1994</p>","www.forces.gc.ca/en/caf-community-support-services-housing/index.page","www.forces.gc.ca/fr/communaute-fac-services-soutien-logement/index.page"
,,,"Canadian Heritage Information Network","NULL","Canadian Heritage Information Network","Réseau canadien d'information sur le patrimoine","Canadian Heritage and Official Languages","Patrimoine canadien et Langues officielles","Moore, James (Hon.)","Minister of Canadian Heritage and Official Languages","NULL","NULL","NULL","NULL","Moore, James (L'hon.)","ministre du Patrimoine canadien et des Langues officielles","NULL","NULL","NULL","NULL","Claudette Levesque, Acting Director General","Claudette Levesque, directrice générale intérimaire","<p>A national centre of expertise, the Canadian Heritage Information Network (CHIN) is a special operating agency of the Department of Canadian Heritage. We enable Canada's museums to engage audiences through the use of innovative technologies. To effectively do this, CHIN:</p> <ul> <li>mobilizes and supports collaborative networks of heritage institutions (more than 1,600) and research partners;</li> <li>develops and provides skills development resources for heritage professionals; and</li> <li>supports the development, presentation, and promotion of digital heritage content.</li> </ul>","<p>Le R&#233;seau canadien d&#8217;information sur le patrimoine (RCIP), centre national d&#8217;expertise, est un organisme de services sp&#233;ciaux du minist&#232;re du Patrimoine canadien. Nous permettons aux mus&#233;es du Canada de mobiliser leurs publics en ayant recours &#224; des technologies innovatrices. Afin de mener sa mission &#224; bien, le RCIP&#160;:</p> <ul> <li>Mobilise et appuie des r&#233;seaux collaboratifs rapprochant des &#233;tablissements du patrimoine (plus&#160;de&#160;1&#160;600) et des chercheurs du domaine du patrimoine;</li> <li>&#201;labore et offre des produits et services&#160;de perfectionnement des comp&#233;tences &#224; l&#8217;intention des professionnels du domaine du patrimoine;</li> <li>Appuie l&#8217;&#233;laboration, la pr&#233;sentation et la promotion du contenu num&#233;rique patrimonial</li> </ul> <p><br /> </p>","Special Operating Agency","Organismes de services spéciaux","<p>Treasury Board Decision No. 818537, July 16, 1992</p>","<p>D&#233;cisions rendues par le Conseil du Tr&#233;sor n&#186;&#160;818537, 16 juillet 1992</p>","www.rcip-chin.gc.ca/index-eng.jsp","www.rcip-chin.gc.ca/index-fra.jsp"
,,,"Canadian Institute for Health Information","NULL","Canadian Institute for Health Information","Institut canadien dinformation sur la santé","Health","Santé","Aglukkaq, Leona (Hon.)","Minister of Health","NULL","NULL","NULL","NULL","Aglukkaq, Leona (L'hon.)","ministre de la Santé","NULL","NULL","NULL","NULL","John Wright, President and Chief Executive Officer","John Wright, présidente-directeur général","<p>To lead the development and maintenance of comprehensive, integrated health information that enables sound policy and effective health systems management that improve health and health care.</p>","<p>Diriger l&#8217;&#233;laboration et le maintien d&#8217;une information sur la sant&#233; exhaustive et int&#233;gr&#233;e pour des politiques avis&#233;es et une gestion efficace du syst&#232;me de sant&#233; qui&#160;permettent d&#8217;am&#233;liorer la sant&#233; et les soins de sant&#233;.</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Not-for-profit Corporations Act</em>, S.C. 2009, c. 23</p>","<p><em>Loi canadienne sur les organisations &#224; but non lucratif</em>, L.C. 2009, ch. 23</p>","www.cihi.ca","www.icis.ca"
,,,"Canadian International Grains Institute","NULL","Canadian International Grains Institute","Institut international du Canada pour le grain","Agriculture and Agri-Food","Agriculture et Agroalimentaire","Ritz, Gerry (Hon.)","Minister of Agriculture and Agri-Food","NULL","NULL","NULL","NULL","Ritz, Gerry (L'hon.)","ministre de lAgriculture et de lAgroalimentaire","NULL","NULL","NULL","NULL","Earl Geddes, Executive Director","Earl Geddes, directeur exécutif","<p>To create profitable opportunities for Canadian field crops through the delivery of technical expertise, support, applied research and customized training to the domestic industry and customers around the world.&#160;</p>","<p>Cr&#233;er des d&#233;bouch&#233;s rentables pour les grandes cultures canadiennes en offrant une expertise technique, un soutien, des activit&#233;s de recherche appliqu&#233;e&#160;et une formation sur mesure aux industries nationales et aux clients internationaux.&#160;</p>","Shared-Governance Corporation","Sociétés à régie partagée","<p><em>Canada Corporations Act</em>, R.S.C. 1970, c. C-32</p>","<p><em>Loi sur les corporations canadiennes</em>, L.R.C. 1970, ch. C-32</p>","www.cigi.ca","www.cigi.ca"
