"Organisations","Vote*","Votestattype","Description","Description","Total authority available for use in 2010-11","Authority used in 2010-11","Total authority available for use in 2011-12","Authority used in 2011-12","Total authority available for use in 2010-11","Authority used in 2010-11","Total authority available for use in 2011-12","Authority used in 2011-12","Total authority available for use in 2012-13","Authority used in 2012-13"
"CGC","30",1,"Dépenses du programme","Program expenditures","31,331,251","31,183,896","35,237,639","35,237,639","31,331,251","31,183,896","35,237,639","35,237,639","31,629,611","31,629,611"
"CGC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","46,560","46,560","58,224","58,224","46,560","46,560","58,224","58,224","34,455","34,455"
"CGC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","587,337","587,337","622,222","622,222","587,337","587,337","622,222","622,222","622,222","622,222"
"CGC","(S)",999,"Fonds renouvelable de la Commission canadienne des grains","Canadian Grain Commission Revolving Fund","40,114,584","1,507,841","38,606,742","-1,098,073","40,114,584","1,507,841","38,606,742","-1,098,073","39,704,815","4,847,958"
"CH","1",1,"Dépenses de fonctionnement","Operating expenditures","236,521,048","220,995,426","223,279,931","205,669,690","236,521,048","220,995,426","223,279,931","205,669,690","188,992,889","178,306,584"
"CH","5",3,"Subventions et contributions","Grants and contributions","1,071,950,696","1,062,798,460","1,089,045,219","1,071,847,979","1,071,950,696","1,062,798,460","1,089,045,219","1,071,847,979","1,056,305,787","1,041,770,492"
"CH","(S)",999,"Ministre du Patrimoine canadien et des Langues officielles--Traitement et allocation pour automobile","Minister of Canadian Heritage and Official Languages--Salary and motor car allowance","78,876","78,876","77,551","77,551","78,876","78,876","77,551","77,551","77,516","77,516"
"CH","(S)",999,"Ministre d'État (Sports)--Allocation pour automobile","Minister of State (Sport)--Motor car allowance",0,0,"2,000","2,000",0,0,"2,000","2,000","2,000","2,000"
"CH","(S)",999,"Traitements des lieutenants-gouverneurs (Loi sur les traitements)","Salaries of the Lieutenant Governors (Salaries Act)","1,246,635","1,246,635","1,262,408","1,262,408","1,246,635","1,246,635","1,262,408","1,262,408","1,319,462","1,319,462"
"CH","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","2,470,806","6,371","2,749,435","2,737,806","2,470,806","6,371","2,749,435","2,737,806","23,422","11,861"
"CH","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","27,380,763","27,380,763","25,811,435","25,811,435","27,380,763","27,380,763","25,811,435","25,811,435","24,843,182","24,843,182"
"CH","(S)",999,"Paiements en vertu de la Loi sur la pension de retraite des lieutenants-gouverneurs","Payments under the Lieutenant Governors Superannuation Act","905,145","905,145","879,770","879,770","905,145","905,145","879,770","879,770","892,551","892,551"
"CH","(S)",999,"Prestations de retraite supplémentaires--Anciens lieutenants-gouverneurs","Supplementary retirement benefits--Former Lieutenant Governors","220,177","220,177","203,264","203,264","220,177","220,177","203,264","203,264","203,907","203,907"
"CHRC","10",1,"Dépenses du programme","Program expenditures","21,496,477","20,339,731","22,895,397","21,457,760","21,496,477","20,339,731","22,895,397","21,457,760","22,752,606","21,475,813"
"CHRC","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",38,38,0,0,38,38,0,0,0,0
"CHRC","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","2,727,661","2,727,661","2,804,563","2,804,563","2,727,661","2,727,661","2,804,563","2,804,563","2,907,363","2,907,363"
"CHRT","15",1,"Dépenses du programme","Program expenditures","4,452,615","4,111,969","5,237,948","4,901,909","4,452,615","4,111,969","5,237,948","4,901,909","4,509,068","3,858,108"
"CHRT","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","324,558","324,558","337,885","337,885","324,558","324,558","337,885","337,885","361,501","361,501"
"CIHR","20",1,"Dépenses de fonctionnement","Operating expenditures","54,255,279","53,589,168","55,908,451","51,699,069","54,255,279","53,589,168","55,908,451","51,699,069","52,860,414","50,146,637"
"CIHR","25",3,"Subventions","Grants","969,214,918","966,828,661","952,647,336","950,729,984","969,214,918","966,828,661","952,647,336","950,729,984","949,074,958","940,773,074"
"CIHR","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","10,692",0,"10,692",0,"10,692",0,"10,692",0,0,0
"CIHR","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","6,453,447","6,453,447","6,662,339","6,662,339","6,453,447","6,453,447","6,662,339","6,662,339","6,133,031","6,133,031"
"CICS","5",1,"Dépenses du programme","Program expenditures","6,511,863","4,843,648","6,639,760","5,227,416","6,511,863","4,843,648","6,639,760","5,227,416","6,594,044","4,829,776"
"CICS","7",1,"Dépenses du programme","Program expenditures",0,0,0,0,0,0,0,0,58,57
"CICS","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",143,0,143,0,143,0,143,0,0,0
"CICS","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","419,661","419,661","333,196","333,196","419,661","419,661","333,196","333,196","325,647","325,647"
"CIDA","25",1,"Dépenses de fonctionnement","Operating expenditures","222,173,935","217,227,267","219,963,373","211,491,438","222,173,935","217,227,267","219,963,373","211,491,438","201,963,651","194,095,452"
"CIDA","30",3,"Subventions et contributions","Grants and contributions","3,045,536,719","3,043,827,527","3,319,155,947","3,278,588,220","3,045,536,719","3,043,827,527","3,319,155,947","3,278,588,220","3,150,878,110","2,860,377,838"
"CIDA","(S)",999,"Ministre de la Coopération internationale--Traitement et allocation pour automobile","Minister for International Cooperation--Salary and motor car allowance","77,638","77,638","77,536","77,536","77,638","77,638","77,536","77,536","77,516","77,516"
"CIDA","(S)",999,"Honoraires  Agence de recouvrement","Collection agency fees","1,691","1,691",258,258,"1,691","1,691",258,258,0,0
"CIDA","(S)",999,"Pertes sur opérations de change","Losses on foreign exchange","32,026,657","32,026,657","20,088,735","20,088,735","32,026,657","32,026,657","20,088,735","20,088,735","14,917,236","14,917,236"
"CIDA","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","6,097","6,097","6,874","6,874","6,097","6,097","6,874","6,874","5,120","5,120"
"CIDA","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","27,365,616","27,365,616","26,955,888","26,955,888","27,365,616","27,365,616","26,955,888","26,955,888","26,895,264","26,895,264"
"CIDA","(S)",999,"En vertu de l'article 144 de la Loi d'exécution du budget et de l'énoncé économique de 2007, un paiement à la Banque mondiale pour la garantie de marchés pour le vaccin contre le pneumocoque, pour la période commençant le 1er avril 2012 et se terminant le 31 mars 2013, d'un montant ne devant pas dépasser 24 504 170 $","Pursuant to Section 144 of the Budget and Economic Statement Implementation Act, 2007, a payment to the World Bank for the Advance Market Commitment for Pneumococcal Vaccines in respect of the period commencing on April 1, 2012 and ending on March 31, 2013, in an amount not to exceed $24,504,170","20,258,857","20,258,857","22,926,021","22,926,021","20,258,857","20,258,857","22,926,021","22,926,021","24,443,233","24,443,233"
"CIDA","(S)",999,"Encaissement de billets délivrés aux fonds d'aide des institutions financières internationales conformément à la Loi d'aide au développement international (institutions financières)","Encashment of notes issued to the development assistance funds of the international financial institutions in accordance with the International Development (Financial Institutions) Assistance Act","249,133,809","249,133,809","285,582,426","285,582,426","249,133,809","249,133,809","285,582,426","285,582,426","247,881,121","247,881,121"
"CIDA","(S)",999,"Conformément à l'article 24.1 de la Loi sur la gestion des finances publiques, faire grâce d'un montant jusqu'à concurrence de 449 533 044 $ que doit le gouvernement de la République islamique du Pakistan relativement à des ententes de prêt, sous réserve des conditions énoncées dans le protocole d'entente signé le 20 avril 2006 entre le gouvernement du Canada et le gouvernement de la République islamique du Pakistan","Pursuant to Section 24.1 of the Financial Administration Act, to forgive an amount up to $449,533,044 owed by the Government of the Islamic Republic of Pakistan, in relation to loan agreements, subject to the conditions described in the Memorandum of Understanding signed on April 20, 2006 between the Government of Canada and the Government of the Islamic Republic of Pakistan","433,385,345","48,790,835","384,594,510","81,546,151","433,385,345","48,790,835","384,594,510","81,546,151","303,048,359","40,864,654"
"CITT","25",1,"Dépenses du programme","Program expenditures","10,899,767","9,611,620","11,372,978","9,328,928","10,899,767","9,611,620","11,372,978","9,328,928","10,773,537","10,307,575"
"CITT","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets",748,0,334,0,748,0,334,0,885,885
"CITT","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","1,310,606","1,310,606","1,199,978","1,199,978","1,310,606","1,310,606","1,199,978","1,199,978","1,192,867","1,192,867"
"CMHR","30",5,"Paiements au Musée canadien des droits de la personne à l'égard des dépenses de fonctionnement et des dépenses en capital","Payments to the Canadian Museum for Human Rights for operating and capital expenditures","56,072,657","56,072,657","31,798,633","21,798,633","56,072,657","56,072,657","31,798,633","21,798,633","56,935,796","56,935,796"
"CMC","35",5,"Paiements au Musée canadien des civilisations à l'égard des dépenses de fonctionnement et des dépenses en capital","Payments to the Canadian Museum of Civilization for operating and capital expenditures","71,218,048","71,218,048","65,198,130","65,198,130","71,218,048","71,218,048","65,198,130","65,198,130","64,364,831","64,364,831"
"CMI","40",5,"Paiement au Musée canadien de l'immigration du Quai 21","Payment to the Canadian Museum of Immigration at Pier 21",0,0,"9,974,440","9,974,440",0,0,"9,974,440","9,974,440","9,976,473","9,976,473"
"CMI","(S)",999,"Paiement au Musée canadien de l'immigration du Quai 21","Payment to the Canadian Museum of Immigration at Pier 21","4,576,085","4,576,085","3,850,160","3,850,160","4,576,085","4,576,085","3,850,160","3,850,160",0,0
"CMN","45",5,"Paiements au Musée canadien de la nature à l'égard des dépenses de fonctionnement et des dépenses en capital","Payments to the Canadian Museum of Nature for operating and capital expenditures","33,281,985","33,281,985","28,591,766","28,591,766","33,281,985","33,281,985","28,591,766","28,591,766","34,370,062","34,370,062"
"CNEDA","30",1,"Dépenses de fonctionnement","Operating expenditures","18,145,503","16,973,449","17,237,930","15,399,923","18,145,503","16,973,449","17,237,930","15,399,923","13,867,834","12,720,066"
"CNEDA","35",3,"Contributions","Contributions","48,031,951","44,217,850","32,754,757","31,992,730","48,031,951","44,217,850","32,754,757","31,992,730","39,861,803","38,365,705"
"CNEDA","(S)",999,"Contributions aux régimes d'avantages sociaux des employés","Contributions to employee benefit plans","1,583,486","1,583,486","1,207,038","1,207,038","1,583,486","1,583,486","1,207,038","1,207,038","1,302,839","1,302,839"
"CNEDA","(S)",999,"Fonds d'adaptation des collectivités","Community Adjustment Fund","1,485,768","1,485,768",0,0,"1,485,768","1,485,768",0,0,0,0
"AECB","20",1,"Dépenses du programme","Program expenditures","44,755,466","43,485,173","43,431,269","39,864,044","44,755,466","43,485,173","43,431,269","39,864,044","40,407,092","37,676,689"
"AECB","(S)",999,"Dépenses des produits de la vente de biens excédentaires de l'État","Spending of proceeds from the disposal of surplus Crown assets","11,498",0,"24,002","11,498","11,498",0,"24,002","11,498","54,041","53,951"
